"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2404","Login fallido con credenciales inválidas","","2026-02-21","passed","2026-02-21","","","",""
"","2415","Login existoso con credenciales válidas","","2026-02-21","passed","2026-02-21","","","",""
